timestamp,joint,target_pos,actual_pos,latency_ms,test_count
1761392725.448951,yaw_body,0.0,0.0,0.0030994415283203125,0
1761392725.461474,yaw_body,0.1,0.1,0.009775161743164062,1
1761392725.473571,yaw_body,0.0,0.0,0.03409385681152344,2
1761392725.4861188,yaw_body,0.1,0.1,0.0171661376953125,3
1761392725.4986439,yaw_body,0.0,0.0,0.007867813110351562,4
1761392725.511162,yaw_body,0.1,0.1,0.008106231689453125,5
1761392725.523681,yaw_body,0.0,0.0,0.008821487426757812,6
1761392725.5362,yaw_body,0.1,0.1,0.008106231689453125,7
1761392725.548759,yaw_body,0.0,0.0,0.013113021850585938,8
1761392725.56129,yaw_body,0.1,0.1,0.013113021850585938,9
1761392725.5735838,yaw_body,0.0,0.0,0.006198883056640625,10
1761392725.5861602,yaw_body,0.1,0.1,0.041961669921875,11
1761392725.598476,yaw_body,0.0,0.0,0.014066696166992188,12
1761392725.6109922,yaw_body,0.1,0.1,0.007152557373046875,13
1761392725.623552,yaw_body,0.0,0.0,0.018835067749023438,14
1761392725.636099,yaw_body,0.1,0.1,0.02002716064453125,15
1761392725.6484811,yaw_body,0.0,0.0,0.015974044799804688,16
1761392725.6609972,yaw_body,0.1,0.1,0.006198883056640625,17
1761392725.673522,yaw_body,0.0,0.0,0.010967254638671875,18
1761392725.686059,yaw_body,0.1,0.1,0.015974044799804688,19
1761392725.697789,yaw_body,0.0,0.0,0.015735626220703125,20
1761392725.7103949,yaw_body,0.1,0.1,0.047206878662109375,21
1761392725.721051,yaw_body,0.0,0.0,0.04410743713378906,22
1761392725.7318962,yaw_body,0.1,0.1,0.017881393432617188,23
1761392725.744436,yaw_body,0.0,0.0,0.013828277587890625,24
1761392725.756953,yaw_body,0.1,0.1,0.041961669921875,25
1761392725.76954,yaw_body,0.0,0.0,0.0400543212890625,26
1761392725.78186,yaw_body,0.1,0.1,0.028133392333984375,27
1761392725.794406,yaw_body,0.0,0.0,0.01621246337890625,28
1761392725.8068259,yaw_body,0.1,0.1,0.014781951904296875,29
1761392725.81949,yaw_body,0.0,0.0,0.0069141387939453125,30
1761392725.832074,yaw_body,0.1,0.1,0.025987625122070312,31
1761392725.842747,yaw_body,0.0,0.0,0.01621246337890625,32
1761392725.855267,yaw_body,0.1,0.1,0.007152557373046875,33
1761392725.867857,yaw_body,0.0,0.0,0.047206878662109375,34
1761392725.8787782,yaw_body,0.1,0.1,0.04601478576660156,35
1761392725.891396,yaw_body,0.0,0.0,0.051975250244140625,36
1761392725.902495,yaw_body,0.1,0.1,0.03790855407714844,37
1761392725.914303,yaw_body,0.0,0.0,0.06985664367675781,38
1761392725.926771,yaw_body,0.1,0.1,0.019788742065429688,39
1761392725.939018,yaw_body,0.0,0.0,0.008821487426757812,40
1761392725.951564,yaw_body,0.1,0.1,0.016927719116210938,41
1761392725.962046,yaw_body,0.0,0.0,0.016927719116210938,42
1761392725.97458,yaw_body,0.1,0.1,0.014781951904296875,43
1761392725.9871202,yaw_body,0.0,0.0,0.015020370483398438,44
1761392725.999521,yaw_body,0.1,0.1,0.0069141387939453125,45
1761392726.0112529,yaw_body,0.0,0.0,0.016927719116210938,46
1761392726.023851,yaw_body,0.1,0.1,0.011920928955078125,47
1761392726.0362291,yaw_body,0.0,0.0,0.014066696166992188,48
1761392726.0485702,yaw_body,0.1,0.1,0.032901763916015625,49
1761392726.0590148,yaw_body,0.0,0.0,0.0059604644775390625,50
1761392726.0716002,yaw_body,0.1,0.1,0.03504753112792969,51
1761392726.084144,yaw_body,0.0,0.0,0.018835067749023438,52
1761392726.0966809,yaw_body,0.1,0.1,0.015974044799804688,53
1761392726.1069078,yaw_body,0.0,0.0,0.028133392333984375,54
1761392726.11946,yaw_body,0.1,0.1,0.018835067749023438,55
1761392726.1318579,yaw_body,0.0,0.0,0.008821487426757812,56
1761392726.144375,yaw_body,0.1,0.1,0.006198883056640625,57
1761392726.156885,yaw_body,0.0,0.0,0.02193450927734375,58
1761392726.1690261,yaw_body,0.1,0.1,0.015974044799804688,59
1761392726.181694,yaw_body,0.0,0.0,0.007867813110351562,60
1761392726.19422,yaw_body,0.1,0.1,0.0152587890625,61
1761392726.206669,yaw_body,0.0,0.0,0.011205673217773438,62
1761392726.2191901,yaw_body,0.1,0.1,0.008821487426757812,63
1761392726.231712,yaw_body,0.0,0.0,0.0059604644775390625,64
1761392726.241867,yaw_body,0.1,0.1,0.00476837158203125,65
1761392726.254383,yaw_body,0.0,0.0,0.0050067901611328125,66
1761392726.266897,yaw_body,0.1,0.1,0.003814697265625,67
1761392726.2794151,yaw_body,0.0,0.0,0.008106231689453125,68
1761392726.2919302,yaw_body,0.1,0.1,0.0059604644775390625,69
1761392726.3045871,yaw_body,0.0,0.0,0.008821487426757812,70
1761392726.314802,yaw_body,0.1,0.1,0.0209808349609375,71
1761392726.326676,yaw_body,0.0,0.0,0.031948089599609375,72
1761392726.3385139,yaw_body,0.1,0.1,0.02384185791015625,73
1761392726.348598,yaw_body,0.0,0.0,0.010013580322265625,74
1761392726.3611462,yaw_body,0.1,0.1,0.019788742065429688,75
1761392726.373035,yaw_body,0.0,0.0,0.0209808349609375,76
1761392726.385605,yaw_body,0.1,0.1,0.030994415283203125,77
1761392726.395912,yaw_body,0.0,0.0,0.04410743713378906,78
1761392726.408468,yaw_body,0.1,0.1,0.02193450927734375,79
1761392726.421202,yaw_body,0.0,0.0,0.015020370483398438,80
1761392726.43194,yaw_body,0.1,0.1,0.025033950805664062,81
1761392726.444482,yaw_body,0.0,0.0,0.009059906005859375,82
