timestamp,joint,target,actual,latency_ms,success
1761398858.527301,head_1,-0.1,0.0,0.0,False
1761398858.5398169,head_2,0.0,0.0,0.0019073486328125,False
1761398858.5523388,body_yaw,0.1,0.0,0.00286102294921875,False
1761398858.564563,head_1,-0.1,0.0,0.0026226043701171875,False
1761398858.5747259,head_2,0.0,0.0,0.007152557373046875,False
1761398858.5849469,body_yaw,0.1,0.0,0.00476837158203125,False
1761398858.5974889,head_1,-0.1,0.0,0.006198883056640625,False
1761398858.610028,head_2,0.0,0.0,0.005245208740234375,False
1761398858.622572,body_yaw,0.1,0.0,0.0069141387939453125,False
1761398858.6351092,head_1,-0.1,0.0,0.0050067901611328125,False
1761398858.647647,head_2,0.0,0.0,0.00476837158203125,False
1761398858.660172,body_yaw,0.1,0.0,0.0030994415283203125,False
1761398858.6727061,head_1,-0.1,0.0,0.004291534423828125,False
1761398858.68523,head_2,0.0,0.0,0.0030994415283203125,False
1761398858.697746,body_yaw,0.1,0.0,0.0016689300537109375,False
1761398858.710256,head_1,-0.1,0.0,0.00095367431640625,False
1761398858.7227662,head_2,0.0,0.0,0.00095367431640625,False
1761398858.735274,body_yaw,0.1,0.0,0.0011920928955078125,False
1761398858.747793,head_1,-0.1,0.0,0.00286102294921875,False
1761398858.7603252,head_2,0.0,0.0,0.0050067901611328125,False
1761398858.772862,body_yaw,0.1,0.0,0.0050067901611328125,False
1761398858.78445,head_1,-0.1,0.0,0.004291534423828125,False
1761398858.7951639,head_2,0.0,0.0,0.0050067901611328125,False
1761398858.806182,body_yaw,0.1,0.0,0.005245208740234375,False
1761398858.8182552,head_1,-0.1,0.0,0.0059604644775390625,False
1761398858.8301492,head_2,0.0,0.0,0.0050067901611328125,False
1761398858.841994,body_yaw,0.1,0.0,0.003814697265625,False
1761398858.854526,head_1,-0.1,0.0,0.00476837158203125,False
1761398858.86514,head_2,0.0,0.0,0.011920928955078125,False
1761398858.876596,body_yaw,0.1,0.0,0.003814697265625,False
1761398858.887381,head_1,-0.1,0.0,0.0059604644775390625,False
1761398858.8999429,head_2,0.0,0.0,0.010251998901367188,False
1761398858.9124951,body_yaw,0.1,0.0,0.0059604644775390625,False
1761398858.925028,head_1,-0.1,0.0,0.005245208740234375,False
1761398858.9375942,head_2,0.0,0.0,0.013113021850585938,False
1761398858.950135,body_yaw,0.1,0.0,0.0040531158447265625,False
1761398858.962667,head_1,-0.1,0.0,0.003814697265625,False
1761398858.972886,head_2,0.0,0.0,0.007867813110351562,False
1761398858.983888,body_yaw,0.1,0.0,0.0059604644775390625,False
1761398858.9944398,head_1,-0.1,0.0,0.007867813110351562,False
1761398859.006989,head_2,0.0,0.0,0.0069141387939453125,False
1761398859.019569,body_yaw,0.1,0.0,0.008106231689453125,False
1761398859.032109,head_1,-0.1,0.0,0.006198883056640625,False
1761398859.0446541,head_2,0.0,0.0,0.007867813110351562,False
1761398859.055234,body_yaw,0.1,0.0,0.010967254638671875,False
1761398859.066837,head_1,-0.1,0.0,0.0030994415283203125,False
1761398859.0793622,head_2,0.0,0.0,0.0030994415283203125,False
1761398859.090425,body_yaw,0.1,0.0,0.0019073486328125,False
1761398859.101619,head_1,-0.1,0.0,0.0026226043701171875,False
1761398859.1139882,head_2,0.0,0.0,0.0059604644775390625,False
1761398859.126517,body_yaw,0.1,0.0,0.003814697265625,False
1761398859.138835,head_1,-0.1,0.0,0.0050067901611328125,False
1761398859.151365,head_2,0.0,0.0,0.0050067901611328125,False
1761398859.163899,body_yaw,0.1,0.0,0.005245208740234375,False
1761398859.1751628,head_1,-0.1,0.0,0.0050067901611328125,False
1761398859.1877,head_2,0.0,0.0,0.003814697265625,False
