timestamp,joint,target_pos,actual_pos,latency_ms,test_count
1761390411.188915,yaw_body,0.0,0.0,0.00286102294921875,0
1761390411.201447,yaw_body,0.1,0.1,0.012636184692382812,1
1761390411.213993,yaw_body,0.0,0.0,0.0209808349609375,2
1761390411.225856,yaw_body,0.1,0.1,0.027894973754882812,3
1761390411.23842,yaw_body,0.0,0.0,0.026941299438476562,4
1761390411.2488132,yaw_body,0.1,0.1,0.026226043701171875,5
1761390411.261334,yaw_body,0.0,0.0,0.010013580322265625,6
1761390411.27232,yaw_body,0.1,0.1,0.0069141387939453125,7
1761390411.284835,yaw_body,0.0,0.0,0.005245208740234375,8
1761390411.297336,yaw_body,0.1,0.1,0.011205673217773438,9
1761390411.310014,yaw_body,0.0,0.0,0.0059604644775390625,10
1761390411.322398,yaw_body,0.1,0.1,0.008106231689453125,11
1761390411.334931,yaw_body,0.0,0.0,0.012874603271484375,12
1761390411.347332,yaw_body,0.1,0.1,0.010013580322265625,13
1761390411.3598452,yaw_body,0.0,0.0,0.005245208740234375,14
1761390411.3723562,yaw_body,0.1,0.1,0.0040531158447265625,15
1761390411.384925,yaw_body,0.0,0.0,0.030994415283203125,16
1761390411.3964999,yaw_body,0.1,0.1,0.050067901611328125,17
1761390411.406822,yaw_body,0.0,0.0,0.048160552978515625,18
1761390411.419352,yaw_body,0.1,0.1,0.008106231689453125,19
1761390411.430866,yaw_body,0.0,0.0,0.008821487426757812,20
1761390411.443393,yaw_body,0.1,0.1,0.009059906005859375,21
1761390411.4551091,yaw_body,0.0,0.0,0.027179718017578125,22
1761390411.4665222,yaw_body,0.1,0.1,0.019073486328125,23
1761390411.4782872,yaw_body,0.0,0.0,0.024080276489257812,24
1761390411.488506,yaw_body,0.1,0.1,0.019073486328125,25
1761390411.50103,yaw_body,0.0,0.0,0.010013580322265625,26
1761390411.513612,yaw_body,0.1,0.1,0.025272369384765625,27
1761390411.526151,yaw_body,0.0,0.0,0.015974044799804688,28
1761390411.53642,yaw_body,0.1,0.1,0.007152557373046875,29
1761390411.549091,yaw_body,0.0,0.0,0.0030994415283203125,30
1761390411.561613,yaw_body,0.1,0.1,0.009059906005859375,31
1761390411.572426,yaw_body,0.0,0.0,0.030994415283203125,32
1761390411.584948,yaw_body,0.1,0.1,0.010967254638671875,33
1761390411.597408,yaw_body,0.0,0.0,0.017881393432617188,34
1761390411.60995,yaw_body,0.1,0.1,0.016927719116210938,35
1761390411.622387,yaw_body,0.0,0.0,0.016927719116210938,36
1761390411.633846,yaw_body,0.1,0.1,0.010013580322265625,37
1761390411.646376,yaw_body,0.0,0.0,0.012159347534179688,38
1761390411.6589088,yaw_body,0.1,0.1,0.014781951904296875,39
1761390411.6716108,yaw_body,0.0,0.0,0.006198883056640625,40
1761390411.684151,yaw_body,0.1,0.1,0.017881393432617188,41
1761390411.69677,yaw_body,0.0,0.0,0.050067901611328125,42
1761390411.707492,yaw_body,0.1,0.1,0.018358230590820312,43
1761390411.7200599,yaw_body,0.0,0.0,0.030279159545898438,44
1761390411.73073,yaw_body,0.1,0.1,0.014066696166992188,45
1761390411.743306,yaw_body,0.0,0.0,0.030994415283203125,46
1761390411.7557719,yaw_body,0.1,0.1,0.03504753112792969,47
1761390411.768348,yaw_body,0.0,0.0,0.031948089599609375,48
1761390411.780908,yaw_body,0.1,0.1,0.025987625122070312,49
1761390411.7936351,yaw_body,0.0,0.0,0.010967254638671875,50
1761390411.805768,yaw_body,0.1,0.1,0.0209808349609375,51
1761390411.818346,yaw_body,0.0,0.0,0.033855438232421875,52
1761390411.830864,yaw_body,0.1,0.1,0.007152557373046875,53
1761390411.8433962,yaw_body,0.0,0.0,0.011920928955078125,54
1761390411.855912,yaw_body,0.1,0.1,0.0050067901611328125,55
1761390411.8668668,yaw_body,0.0,0.0,0.010013580322265625,56
1761390411.879393,yaw_body,0.1,0.1,0.009775161743164062,57
1761390411.891926,yaw_body,0.0,0.0,0.014066696166992188,58
1761390411.904473,yaw_body,0.1,0.1,0.01811981201171875,59
1761390411.91713,yaw_body,0.0,0.0,0.008821487426757812,60
1761390411.929675,yaw_body,0.1,0.1,0.016927719116210938,61
1761390411.942059,yaw_body,0.0,0.0,0.016927719116210938,62
1761390411.952099,yaw_body,0.1,0.1,0.008106231689453125,63
1761390411.964077,yaw_body,0.0,0.0,0.0059604644775390625,64
1761390411.974336,yaw_body,0.1,0.1,0.0030994415283203125,65
1761390411.9868429,yaw_body,0.0,0.0,0.0016689300537109375,66
1761390411.997418,yaw_body,0.1,0.1,0.0069141387939453125,67
1761390412.009929,yaw_body,0.0,0.0,0.00476837158203125,68
1761390412.022488,yaw_body,0.1,0.1,0.02384185791015625,69
1761390412.034354,yaw_body,0.0,0.0,0.0026226043701171875,70
1761390412.046867,yaw_body,0.1,0.1,0.0059604644775390625,71
1761390412.059396,yaw_body,0.0,0.0,0.013113021850585938,72
1761390412.071916,yaw_body,0.1,0.1,0.007867813110351562,73
1761390412.0844522,yaw_body,0.0,0.0,0.012874603271484375,74
1761390412.096538,yaw_body,0.1,0.1,0.019073486328125,75
1761390412.1090822,yaw_body,0.0,0.0,0.018835067749023438,76
1761390412.121546,yaw_body,0.1,0.1,0.023126602172851562,77
1761390412.132111,yaw_body,0.0,0.0,0.024080276489257812,78
1761390412.14408,yaw_body,0.1,0.1,0.019788742065429688,79
1761390412.155019,yaw_body,0.0,0.0,0.011205673217773438,80
1761390412.167389,yaw_body,0.1,0.1,0.023603439331054688,81
1761390412.1799822,yaw_body,0.0,0.0,0.03409385681152344,82
