Métrique,Valeur,Unité

Fichiers Python,27033,fichiers
Lignes de Code,11698428,lignes
Tests,2156,tests
Documentation,1817,fichiers

Date de collecte,2025-11-21T19:24:42.884051,
Version collecteur,1.1.0,
